id,title,rating,date,body,sentiment,category,satisfied,text
1,Bon suivi des produits,5,2024-06-27 00:00:00+00:00,Bon suivi des produits. Récemment j'ai ue un problème avec un vendeur mais le service client de C Discount a tout correctement reglé.,Negative,Customer Service,1,Bon suivi des produits Bon suivi des produits. Récemment j'ai ue un problème avec un vendeur mais le service client de C Discount a tout correctement reglé.
2,Difficultés de paiement avec une CB,3,2024-06-26 00:00:00+00:00,"Difficultés de paiement avec une CB
La CB et l'application sur mobile du compte bancaire sont valides et activées. J'ai du changer de carte pour procéder a l'achat et finaliser !!!",Negative,Uncategorized,0,"Difficultés de paiement avec une CB Difficultés de paiement avec une CB
La CB et l'application sur mobile du compte bancaire sont valides et activées. J'ai du changer de carte pour procéder a l'achat et finaliser !!!"
3,Facile et pratique de commander sur ce…,5,2024-06-29 00:00:00+00:00,"Facile et pratique de commander sur ce site, et merci à Cdiscount à volonté et pour les cashback !",Negative,Customer Service,1,"Facile et pratique de commander sur ce… Facile et pratique de commander sur ce site, et merci à Cdiscount à volonté et pour les cashback !"
4,ce n'est plus une expérience,5,2024-06-28 00:00:00+00:00,"ce n'est plus une expérience, mais une habitude qui ce déroule toujours dans de bonne conditions.",Neutral,Uncategorized,1,"ce n'est plus une expérience ce n'est plus une expérience, mais une habitude qui ce déroule toujours dans de bonne conditions."
5,"Cliente depuis plus de 10 ans, je vous quitte ",2,2024-06-24 00:00:00+00:00,"Ça fait plis de 10 ans qu'on commande chez cdiscount. 
C'est de pire en pire, notre panier moyen est de 2000€, sauf que depuis quelques temps, on passe au moins 2h à choisir nos articles (électroménager, lit etc ...), les pages sautent au moment du paiement, le montant qui s'affiche ppur autorisation n'est pas le même que le montant du paiement requis, le service client à part de dire je suis désolée ils n'apportent aucune solution concrète.
Au moment de vouloir repayer depuis mon.panier, ce dernier s'est évaporé comme par magie, sans parler des délais de livraison qui sont lent, et des articles reçus parfois cassé. 
On est en train de réfléchir sérieusement à bannir cette plate-forme et d'en dissuader nos clients également
Bravo la parcours client hyper fluide, comment voulez-vous convertir ? 
Notre temps est précieux comme la plis part des client, j'aurai passé moins de temps à aller chez Darty que d'essayer de passer commande. 

",Negative,Electronics,0,"Cliente depuis plus de 10 ans, je vous quitte  Ça fait plis de 10 ans qu'on commande chez cdiscount. 
C'est de pire en pire, notre panier moyen est de 2000€, sauf que depuis quelques temps, on passe au moins 2h à choisir nos articles (électroménager, lit etc ...), les pages sautent au moment du paiement, le montant qui s'affiche ppur autorisation n'est pas le même que le montant du paiement requis, le service client à part de dire je suis désolée ils n'apportent aucune solution concrète.
Au moment de vouloir repayer depuis mon.panier, ce dernier s'est évaporé comme par magie, sans parler des délais de livraison qui sont lent, et des articles reçus parfois cassé. 
On est en train de réfléchir sérieusement à bannir cette plate-forme et d'en dissuader nos clients également
Bravo la parcours client hyper fluide, comment voulez-vous convertir ? 
Notre temps est précieux comme la plis part des client, j'aurai passé moins de temps à aller chez Darty que d'essayer de passer commande. 

"
6,AirPods Pro reconditionnés défectueux ,2,2024-04-28 00:00:00+00:00,"J’ai acheté des AirPods Pro de 2021 reconditionnés avec le vendeur DUXUAN au prix de 89,99€. 1 mois après ils ne fonctionnent plus car ne sont plus détectés. J’attends encore le remboursement, malgré l’implication précoce de C -Discount .,,Par curiosité j’envoie les écouteurs à Apple qui me demande 291€ pour la réparation…. Faites le calcul… ",Negative,Electronics,0,"AirPods Pro reconditionnés défectueux  J’ai acheté des AirPods Pro de 2021 reconditionnés avec le vendeur DUXUAN au prix de 89,99€. 1 mois après ils ne fonctionnent plus car ne sont plus détectés. J’attends encore le remboursement, malgré l’implication précoce de C -Discount .,,Par curiosité j’envoie les écouteurs à Apple qui me demande 291€ pour la réparation…. Faites le calcul… "
7,"simple, pratique, efficace",5,2024-06-26 00:00:00+00:00,"comme d habitude chez cdiscount , un grand choix de produits, d excellentes d escriptions et d avis clients bon ou mauvais",Negative,Customer Service,1,"simple, pratique, efficace comme d habitude chez cdiscount , un grand choix de produits, d excellentes d escriptions et d avis clients bon ou mauvais"
8,38 euros pour une livraison à domicile…,3,2024-06-25 00:00:00+00:00,"38 euros pour une livraison à domicile prévue
Je prend ma journée
En fin de compte je reçois un sms me disant que ma commande et livrée en point relais le top un manque de respect envers la clientèle
",Neutral,Customer Service,0,"38 euros pour une livraison à domicile… 38 euros pour une livraison à domicile prévue
Je prend ma journée
En fin de compte je reçois un sms me disant que ma commande et livrée en point relais le top un manque de respect envers la clientèle
"
9,Finalisation de commande…,3,2024-06-29 00:00:00+00:00,"Finalisation de commande particulièrement difficile :
Bon d'achat plus valable à la reconnection
Code reduction reçu par mail plus valable
Validation de paiement avec carte CDiscount/Floa impossible",Negative,Customer Service,0,"Finalisation de commande… Finalisation de commande particulièrement difficile :
Bon d'achat plus valable à la reconnection
Code reduction reçu par mail plus valable
Validation de paiement avec carte CDiscount/Floa impossible"
10,J'ai effectué une commande sur market…,5,2024-06-15 00:00:00+00:00,J'ai effectué une commande sur market place de c discount vendeur Naitangyu que je n'ai jamais reçue ( remboursée 1 mois et demi après) de plus j'ai reçu des menaces de ce vendeur j'ai fais intervenir l'équipe c discount qui a été très efficace...merci c discount,Negative,Customer Service,1,J'ai effectué une commande sur market… J'ai effectué une commande sur market place de c discount vendeur Naitangyu que je n'ai jamais reçue ( remboursée 1 mois et demi après) de plus j'ai reçu des menaces de ce vendeur j'ai fais intervenir l'équipe c discount qui a été très efficace...merci c discount
