id,title,rating,date,body,sentiment,category,satisfied,text
1,Au top,5,2024-06-17 00:00:00+00:00,"Site au top, quand on recherche un article de dernière minute c'est vraiment bien surtout rapport qualité prix.
Transaction au top, ouvrage conforme à la description.
Respect des délais de livraison annoncé et vendeur sérieux avec lequel on peut communiquer facilement.
Un site que je recommande
",Positive,Customer Service,1,"Au top Site au top, quand on recherche un article de dernière minute c'est vraiment bien surtout rapport qualité prix.
Transaction au top, ouvrage conforme à la description.
Respect des délais de livraison annoncé et vendeur sérieux avec lequel on peut communiquer facilement.
Un site que je recommande
"
2,Pixel 7 pro vs 8 pro,5,2024-06-27 00:00:00+00:00,"Nombreux produits récents, de la génération précédente, à prix intéressant. Il y a toujours l'ambiguïté simple sim double sim pour les versions américaines. En fait, celà peut être 1 sim physique, plus une esim. À vérifier. ",Negative,Marketplace,1,"Pixel 7 pro vs 8 pro Nombreux produits récents, de la génération précédente, à prix intéressant. Il y a toujours l'ambiguïté simple sim double sim pour les versions américaines. En fait, celà peut être 1 sim physique, plus une esim. À vérifier. "
3,Retour de transactions ,5,2024-06-26 00:00:00+00:00,"Mon expérience récente confirme mes expériences passées : mes transactions se sont toujours passées très correctement.
Prix intéressants pour certaines trouvailles en vinyles.
Respect des délais de livraison et emballages protecteurs adaptés.
Si nécessaire contact possible avec le vendeur .
Donc à une prochaine transaction.
Floeri21 ",Negative,Customer Service,1,"Retour de transactions  Mon expérience récente confirme mes expériences passées : mes transactions se sont toujours passées très correctement.
Prix intéressants pour certaines trouvailles en vinyles.
Respect des délais de livraison et emballages protecteurs adaptés.
Si nécessaire contact possible avec le vendeur .
Donc à une prochaine transaction.
Floeri21 "
4,avis très favorable,5,2024-06-27 00:00:00+00:00,"bonjour, site de confiance, les vendeurs sont fiables, dans leur description des livres et dvd, jusqu'à maintenant jamais déçus et toujours reçu dans un état pratiquement neuf. merçi à vous.",Negative,Marketplace,1,"avis très favorable bonjour, site de confiance, les vendeurs sont fiables, dans leur description des livres et dvd, jusqu'à maintenant jamais déçus et toujours reçu dans un état pratiquement neuf. merçi à vous."
5,RAKUTEN C EST ZEN!,4,2024-06-17 00:00:00+00:00,"Rakuten est une plateforme d achat en ligne tres sérieuse!Le service est rapide et de qualité.
Les vendeurs sont choisis et les produits vendus correspondent vraiment au descriptif.",Neutral,Customer Service,1,"RAKUTEN C EST ZEN! Rakuten est une plateforme d achat en ligne tres sérieuse!Le service est rapide et de qualité.
Les vendeurs sont choisis et les produits vendus correspondent vraiment au descriptif."
6,Achat rack 3.5'' disque dur Lenovo,4,2024-06-18 00:00:00+00:00,"Achat rack 3.5'' disque dur Lenovo. Matériel en parfait état. Opération correcte dans l'ensemble. Délai un peu long pour la livraison. Lettre recyclable, c'est parfait.
Sincères Salutations
J.Tanski",Neutral,Shipping,1,"Achat rack 3.5'' disque dur Lenovo Achat rack 3.5'' disque dur Lenovo. Matériel en parfait état. Opération correcte dans l'ensemble. Délai un peu long pour la livraison. Lettre recyclable, c'est parfait.
Sincères Salutations
J.Tanski"
7,Procédure d'achat simple et claire,5,2024-06-28 00:00:00+00:00,"Procédure d'achat simple et claire. Le vendeur a expédié un produit conforme et bien emballé, parvenu dans un délai satisfaisant. Que du bon.",Neutral,Shipping,1,"Procédure d'achat simple et claire Procédure d'achat simple et claire. Le vendeur a expédié un produit conforme et bien emballé, parvenu dans un délai satisfaisant. Que du bon."
8,Satisfaction.,5,2024-06-27 00:00:00+00:00,"Rien d'extraordinaire j'ai trouvé l'article que je recherchais  à un prix avantageux j'ai passé commande et à la date prévue j'ai reçu ma commande en bon état donc tout est bien,merci.",Negative,Customer Service,1,"Satisfaction. Rien d'extraordinaire j'ai trouvé l'article que je recherchais  à un prix avantageux j'ai passé commande et à la date prévue j'ai reçu ma commande en bon état donc tout est bien,merci."
9,Livre pour aider a apprendre l anglais ,5,2024-06-27 00:00:00+00:00,"Je pensais avoir commander le livre apprendre l anglais pour les nuls ,mais c est le lexique qui pourra s associer avec apprendre l anglais pour les nuls ",Negative,Customer Service,1,"Livre pour aider a apprendre l anglais  Je pensais avoir commander le livre apprendre l anglais pour les nuls ,mais c est le lexique qui pourra s associer avec apprendre l anglais pour les nuls "
10,Un bon rapport qualité prix,5,2024-06-27 00:00:00+00:00,"Un bon rapport qualité prix. Les articles sont conformes aux descriptions. Bonne communication Avec le vendeur. Envoie rapide, propre et soigné.",Positive,Shipping,1,"Un bon rapport qualité prix Un bon rapport qualité prix. Les articles sont conformes aux descriptions. Bonne communication Avec le vendeur. Envoie rapide, propre et soigné."
