title,rating,date,body,sentiment,category,month_year,satisfied
C'était ma 1ère commande,5,2024-06-02 00:00:00,"C'était ma 1ère commande, et je dois dire que cela a été une excellente expérience. J'ai commandé une trottinette électrique pour offrir à mon petit-fils. Réception rapide, excellent conditionnement et excellent produit. Véro ",Positive,Customer Service,2024-06,1
Réponse à rue du commerce,1,2024-05-25 00:00:00,"Voilà votre numéro de commande... 
44847080  
Un téléphone Zflip retourné pour une réparation chez votre associé SBE. Au passage SBE est très mal noté un peu comme vous Rue du commerce. Je sais pas si c'est un hasard ou une conséquence de votre collaboration.
 Prochain rendez-vous sur les réseaux sociaux si j'ai pas de réponse de votre part.
Cordialement 
",Neutral,Electronics,2024-05,0
Rue du commerce A FUIR,1,2024-06-28 00:00:00,"Je ne peux pas mettre 0 étoiles donc 1.
Il y a quelques années en arrière rue du commerce était un très bon site fiable. 
Malgré les avis négatifs j'ai dit à mon fils que c'était un bon site sérieux de quelques années.
Mais j'aurais mieux fait de suivre les avis, colis jamais partie de leur entrepôt colis disparu ils ne veulent pas me rembourser car une enquête est faite il faut compter 3 semaines, alors que la dame de la veille m'avait dit 48 heures.
Et dans 3 semaines ils diront sûrement ha mais le temps est écoulé pour un remboursement comme ça m'est arrivé une fois. 
",Neutral,Customer Service,2024-06,0
Très réactif et délai très correct,3,2024-06-01 00:00:00,"Très réactif et délai très correct. Juste la livraison qui n’est pas top du tout. On vous donne un jour sans heure donc attendre une journée , on vous envoie un sms fin après midi que la livraison se fera le lendemain sans heure. Au moins une plage horaire le matin ou l’après midi par respect on travaille aussi ",Positive,Shipping,2024-06,0
le mensonge à l'état pur,1,2024-06-17 00:00:00,"Commande n°46279753 du 17/06/2024, rue du commerce (du moins le centre d'appel de la société SPB) me dit que le colis est donné à Chronopost mais Chronopost n'a jamais eu le colis après vérification de leurs parts, je demande donc le bordereau de livraison par mail et par téléphone mais rue du commerce refuse et refuse donc de me rembourser car je dois renvoyer un colis qui n'a jamais été livré par eux donc à l'heure actuelle 700€ dans la nature. Rebondissement après envoi d'un nouveau mail le pc ne serait jamais parti pourtant j'ai tous les mails me disant qu'il est parti idem j'ai enregistré les conversations ou on me dit qu'il est parti. Donc moi je veux ce satané pc et non ce qui arrange ce site d'escrocs   il ne me reste plus que la voie juridique. Je déconseille vivement ce e-Commerce ou le mensonge est l'arme commerciale.",Neutral,Electronics,2024-06,0
"Achat d'un téléviseur LG TV OLED 4K 55"" 139 cm - OLED55C3 evo C3 - 2023 (LG) commande no 46177533 pour 1133,99 € et non remboursé 40 jours plus tard",1,2024-05-16 00:00:00,"Moins que une étoile. J'ai acheté un téléviseur LG commande no 46177533 le 30 avril dernier car il y avait une offre et ils l'ont livré le 16 mai. Pour certaines raisons, j'ai refusé d'accepter le colis de Fedex et je l'ai renvoyé immédiatement. J'ai demandé un remboursement depuis le 16 mai et jusqu'à présent je ne suis pas remboursé. À chaque fois, ils disent qu'ils donneront une réponse dans les 48 à 72 heures, mais ils ne le font jamais. Cela fait plus d'un mois et je ne suis pas remboursé. Le service client est le pire. Après avoir lu de nombreuses critiques en ligne sur le site, je suis devenu une victime parmi elles. Je ne suggère pas ce site même s'il propose de bonnes offres.",Neutral,Customer Service,2024-05,0
Livré dans les temps & en excellent état…,5,2024-06-10 00:00:00,"Livré dans les temps & en excellent état.
Excellente carte graphique pour le prix. J'ai en + bénéficié d'une remise pour mon anniversaire offerte par Rue du Commerce. Merci.
Résultat, 120 FPS sur triple Ecran. Parfait.",Positive,Shipping,2024-06,1
Rue du Commerce,5,2024-06-13 00:00:00,"Rue du Commerce, très bien 😎  Chronopost en livraison, une catastrophe, à éviter 😡",Positive,Shipping,2024-06,1
Achat de plus de 1 000 € jamais reçu et non remboursé 40 jours plus tard,1,2024-05-06 00:00:00,"Achat d'un téléviseur LG TV OLED 4K 55"" 139 cm - OLED55C3 evo C3 - 2023 (LG) pour 1 133,99 €.
FEDEX ne me l'a jamais livré, et rue du commerce ""enquête"" sur ce colis depuis bientôt un mois sans me rembourser au mépris des articles L216.6 et L216.7 du code de la consommation. J'ai pourtant fourni des preuves (copies d'ecran du site FEDEX) attestant que la livraison n'a jamais eu lieu et que le colis leur a été renvoyé... EN REPONSE AU MESSAGE CI-DESSOUS : Une fois le remboursement effectif je supprimerai ce commentaire.",Neutral,Electronics,2024-05,0
J'ai effectué un achat via des guignols...,1,2024-06-04 00:00:00,"J'ai effectué un achat sur une enseigne espagnole et ""rue du commerce"" a annulé l'achat en prétextant une erreur de leur serveur.
Il n'ont jamais répondu aux sollicitations de PayPal qui heureusement a statué un remboursement en ma faveur après deux semaines de vaine attente.
""Rue du commerce"" : site de guignols par lesquels je ne passerai plus jamais pour quelque achat que ce soit.",Neutral,Customer Service,2024-06,0
Traceur GPS ,1,2024-06-07 00:00:00,"J'ai commandé un traceur GPS pour ma fille qui entre au collège à la rentrée. Il ne fonctionne pas, l'application donne des localisations fantaisistes et mouvantes du traceur (immobile dans mon salon) dans un rayon compris entre 150m et 4 km... Quant au vendeur (CBC GROUP GOLD), il fait le mort quand vous lui signaler le problème. Et Rue du Commerce ne bouge (mollement d'ailleur) que parce que j'ai ouvert le litige chez Paypal ! 
RueduCommerce a bien changé.... C'était ma première commande depuis au moins une dizaine d'année et ma dernière de chez dernière ! Plus Jamais !!!",Neutral,Customer Service,2024-06,0
Expérience réussie avec l’achat d’une…,4,2024-06-15 00:00:00,"Expérience réussie avec l’achat d’une lampe sur le site rue du commerce. Reçue dans le délai annoncé, produit conforme. Petit bémol le carton est arrivé déchiré et la lampe dépassait du carton, mais heureusement pas de conséquence sur le produit constaté. Le suivi acheminement-livraison du colis a été très utile également. Je recommande. ",Positive,Customer Service,2024-06,1
Je pense que c’est un site sérieux dans…,5,2024-06-16 00:00:00,"Je pense que c’est un site sérieux dans le domaine des transactions et de la sécurisation de paiement avec PayPal, notamment, et que par conséquent j’accorde une certaine confiance à ce site pour des éventuels achats",Positive,Marketplace,2024-06,1
A éviter,1,2024-06-20 00:00:00,"J'ai commandé un téléphone à 850€ quelques moi plus tard il ne se charge plus à cause d'un problème sur le téléphone qui n'est pas de ma faute.
Il est encore sous garantie mais me demande de payer si je veux le réparer, ils ne veulent ni le reprendre et me rembourser ni l'échanger. A éviter ",Neutral,Electronics,2024-06,0
Smartphone S23 bien reçu,4,2024-05-15 00:00:00,"Facilité d'usage du site malgré le fait qu'il n'y avait pas de curseur à droite de la page visitée !
Commande ( smartphone S23 ultra ) reçue en temps et en heure et produit conforme à la commande dans un emballage sérieux.",Positive,Electronics,2024-05,1
Vendu par le partenaire Breeze sur Rue…,5,2024-06-19 00:00:00,"Vendu par le partenaire Breeze sur Rue du Commerce. Envoi reçu en temps voulu, en parfait état, matériel au top et prix compétitif.  Merci.",Positive,Shipping,2024-06,1
Si j'y retourne sait que… j'aime bien ,5,2024-05-26 00:00:00,"Si j'y retourne sait que… j'aime bien ! Service parfais, revendeur honnête, livraison dans les délais donnés,",Positive,Customer Service,2024-05,1
Je commande une imprimante qui ne m a…,1,2024-04-30 00:00:00,"Je commande une imprimante qui ne m a pas été livrée.Je remplis différents formulaires pour certifié sur l honneur ne  pas avoir reçu ,Leur prestataire de service a livré mon colis dans la nature . Conclusion pas ne marchandise , pas de réexpédition ,ni de remboursement.  
Je n avais jamais eu de problème sur ce site maintenant je ne suis pas sur de recommander quoique ce soit chez eux !",Neutral,Electronics,2024-04,0
